time_ms,pc_time,gyroX,gyroY,gyroZ,accX,accY,accZ
590158,18:16:21.757,-1.050,0.070,1.260,-0.262,0.956,0.141
590212,18:16:21.894,2.030,-2.100,-0.490,-0.261,0.958,0.140
590225,18:16:21.896,0.420,-3.360,0.910,-0.262,0.958,0.141
590239,18:16:21.904,4.620,-3.920,0.700,-0.260,0.958,0.142
590253,18:16:21.906,3.500,-3.920,1.120,-0.258,0.957,0.142
590266,18:16:21.907,-0.210,-2.100,1.120,-0.260,0.959,0.142
590280,18:16:21.915,1.120,-1.050,0.000,-0.261,0.958,0.142
590294,18:16:21.917,4.340,-0.630,0.070,-0.259,0.958,0.141
590307,18:16:21.918,1.540,-5.460,0.910,-0.260,0.956,0.141
590321,18:16:21.933,0.770,-2.170,0.420,-0.259,0.956,0.143
590335,18:16:21.935,3.220,-2.520,-1.120,-0.261,0.958,0.142
590388,18:16:22.071,3.990,-3.850,-1.120,-0.261,0.957,0.142
590402,18:16:22.072,2.100,-2.940,-0.490,-0.259,0.958,0.142
590416,18:16:22.081,0.140,-0.770,0.700,-0.258,0.958,0.141
590429,18:16:22.083,-0.980,-4.340,1.190,-0.261,0.957,0.140
590443,18:16:22.084,3.220,-3.780,-1.260,-0.260,0.957,0.142
590457,18:16:22.092,-0.910,-1.400,1.540,-0.262,0.956,0.141
590470,18:16:22.094,-0.840,-2.450,1.820,-0.259,0.957,0.142
590484,18:16:22.095,-0.630,-1.610,-0.070,-0.260,0.956,0.141
590498,18:16:22.110,0.560,-3.220,-0.210,-0.260,0.960,0.140
590511,18:16:22.112,1.470,-2.870,0.140,-0.260,0.958,0.140
590566,18:16:22.249,-0.910,-2.450,1.820,-0.259,0.957,0.140
590580,18:16:22.250,1.470,-2.030,-0.210,-0.259,0.957,0.142
590593,18:16:22.258,1.190,0.070,0.630,-0.259,0.959,0.142
590607,18:16:22.260,0.980,-2.590,-0.840,-0.263,0.959,0.143
590621,18:16:22.262,-0.070,-2.030,1.050,-0.259,0.957,0.142
590634,18:16:22.270,-0.420,-0.560,0.980,-0.257,0.959,0.142
590648,18:16:22.271,-2.100,-3.080,-0.070,-0.260,0.959,0.141
590662,18:16:22.273,3.290,-3.710,-0.140,-0.259,0.958,0.141
590675,18:16:22.288,2.870,-2.870,-1.050,-0.260,0.956,0.141
590689,18:16:22.290,1.190,-1.540,0.070,-0.260,0.958,0.143
590744,18:16:22.426,1.120,-1.190,0.210,-0.261,0.959,0.142
590757,18:16:22.428,2.800,-0.490,0.350,-0.259,0.957,0.141
590771,18:16:22.436,2.870,-4.550,-0.560,-0.258,0.958,0.143
590785,18:16:22.438,2.310,-3.710,-0.210,-0.259,0.958,0.142
590798,18:16:22.440,1.750,-0.910,-0.420,-0.260,0.958,0.143
590812,18:16:22.447,-0.070,-2.380,-0.350,-0.260,0.958,0.141
590826,18:16:22.449,4.340,-4.130,0.210,-0.259,0.958,0.142
590839,18:16:22.451,0.630,-2.100,0.420,-0.260,0.957,0.142
590853,18:16:22.465,1.260,-1.470,0.000,-0.260,0.959,0.140
590867,18:16:22.467,4.340,-1.260,-0.840,-0.258,0.957,0.142
590921,18:16:22.603,-0.210,0.280,0.910,-0.258,0.958,0.141
590934,18:16:22.605,2.100,-1.260,-0.700,-0.262,0.957,0.142
590948,18:16:22.613,-1.890,-1.260,-0.140,-0.260,0.956,0.141
590962,18:16:22.615,3.570,-3.850,-0.350,-0.262,0.959,0.143
590975,18:16:22.617,2.520,-3.850,-0.490,-0.261,0.958,0.141
590989,18:16:22.625,1.820,-2.800,-0.140,-0.259,0.957,0.140
591003,18:16:22.626,1.190,-1.050,0.000,-0.261,0.958,0.143
591016,18:16:22.628,3.850,-3.710,-0.140,-0.259,0.959,0.142
591030,18:16:22.642,2.170,-3.360,-0.490,-0.258,0.956,0.142
591044,18:16:22.644,0.770,-2.030,0.560,-0.261,0.959,0.141
591098,18:16:22.781,1.330,-3.080,0.210,-0.258,0.957,0.140
591112,18:16:22.783,-1.890,-2.100,0.210,-0.259,0.957,0.140
591126,18:16:22.791,-0.700,-2.170,-0.490,-0.259,0.958,0.141
591139,18:16:22.793,2.590,-3.990,-0.700,-0.259,0.960,0.142
591153,18:16:22.795,2.520,-1.820,-0.770,-0.259,0.956,0.141
591167,18:16:22.803,2.240,-0.910,-0.280,-0.259,0.956,0.140
591180,18:16:22.804,4.130,-3.780,0.630,-0.261,0.957,0.143
591194,18:16:22.805,1.470,-2.170,-0.070,-0.260,0.957,0.142
591208,18:16:22.820,0.700,-0.700,0.350,-0.260,0.958,0.144
591221,18:16:22.822,1.750,-0.700,0.140,-0.258,0.959,0.141
591276,18:16:22.958,-1.470,-0.490,-0.140,-0.259,0.960,0.142
591290,18:16:22.959,0.070,-2.240,0.910,-0.260,0.957,0.141
591303,18:16:22.969,-0.070,-2.450,1.120,-0.260,0.957,0.142
591317,18:16:22.970,1.750,-1.190,-0.210,-0.261,0.957,0.142
591331,18:16:22.971,4.270,-3.290,-0.560,-0.260,0.958,0.142
591344,18:16:22.980,1.680,-3.780,-0.630,-0.258,0.958,0.142
591358,18:16:22.981,4.130,-3.150,-1.890,-0.260,0.959,0.140
591372,18:16:22.989,-0.210,-0.910,0.980,-0.262,0.959,0.140
591386,18:16:22.999,1.050,0.560,-0.140,-0.260,0.958,0.143
591400,18:16:23.001,-0.350,-2.450,0.210,-0.260,0.957,0.138
591455,18:16:23.138,0.140,-4.550,-0.420,-0.260,0.959,0.142
591468,18:16:23.140,-0.420,-2.520,1.260,-0.257,0.958,0.142
591482,18:16:23.148,-0.910,-1.330,1.680,-0.260,0.958,0.141
591496,18:16:23.150,0.700,-3.150,0.490,-0.263,0.959,0.141
591509,18:16:23.151,4.620,-5.250,-0.770,-0.262,0.957,0.142
591523,18:16:23.159,-0.630,-1.750,0.140,-0.260,0.957,0.141
591537,18:16:23.161,1.680,15.260,0.980,-0.261,0.958,0.142
591551,18:16:23.162,1.610,-2.660,-0.350,-0.258,0.956,0.142
591565,18:16:23.177,0.280,-2.450,0.630,-0.260,0.958,0.139
591579,18:16:23.177,2.870,-4.410,-0.770,-0.261,0.959,0.140
591633,18:16:23.316,1.400,-0.700,-0.070,-0.259,0.957,0.142
591647,18:16:23.318,-1.750,-0.700,0.630,-0.261,0.957,0.140
591661,18:16:23.326,2.170,-3.640,0.000,-0.261,0.960,0.142
591674,18:16:23.327,2.030,-4.130,-0.140,-0.259,0.960,0.140
591688,18:16:23.329,2.450,-1.960,-0.700,-0.262,0.957,0.142
591702,18:16:23.337,4.270,-2.240,0.280,-0.259,0.956,0.141
591715,18:16:23.339,3.150,-3.430,16.800,-0.260,0.958,0.139
591729,18:16:23.341,2.520,-2.590,-0.770,-0.260,0.957,0.142
591743,18:16:23.355,-0.840,-0.070,1.260,-0.258,0.958,0.142
591756,18:16:23.357,1.050,-2.730,-0.280,-0.260,0.957,0.143
591811,18:16:23.494,1.120,-3.500,1.190,-0.261,0.956,0.141
591825,18:16:23.496,3.570,-3.290,-1.330,-0.258,0.958,0.141
591839,18:16:23.503,0.350,-1.120,0.700,-0.260,0.959,0.141
591852,18:16:23.505,16.380,-0.280,0.490,-0.259,0.957,0.143
591866,18:16:23.507,-1.750,-1.540,0.560,-0.258,0.957,0.141
591880,18:16:23.515,3.290,-3.570,-1.190,-0.260,0.961,0.142
591893,18:16:23.516,2.870,-3.150,-1.050,-0.261,0.959,0.142
