time_ms,pc_time,gyroX,gyroY,gyroZ,accX,accY,accZ
595197,18:16:26.866,3.920,-3.990,-1.050,-0.261,0.961,0.142
595211,18:16:26.874,1.120,-3.150,0.280,-0.259,0.958,0.141
595224,18:16:26.876,1.540,-3.710,0.210,-0.260,0.958,0.142
595238,18:16:26.878,17.220,-3.080,1.050,-0.263,0.957,0.141
595252,18:16:26.885,3.990,-4.060,-0.280,-0.259,0.957,0.139
595264,18:16:26.887,1.050,-2.800,0.490,-0.262,0.958,0.142
595278,18:16:26.890,1.400,-0.490,-1.050,-0.259,0.958,0.141
595292,18:16:26.903,2.100,-3.500,0.210,-0.260,0.958,0.142
595305,18:16:26.905,-1.050,-2.730,1.820,-0.260,0.957,0.142
595359,18:16:27.041,4.200,-4.690,0.630,-0.260,0.958,0.142
595373,18:16:27.043,0.280,-2.450,1.330,-0.260,0.960,0.142
595386,18:16:27.051,0.630,-2.100,0.420,-0.262,0.959,0.142
595400,18:16:27.053,0.980,-0.980,0.070,-0.259,0.958,0.141
595414,18:16:27.057,0.000,-1.540,0.350,-0.260,0.958,0.141
595427,18:16:27.062,3.500,-3.850,-0.630,-0.261,0.959,0.144
595441,18:16:27.063,1.820,-2.870,-0.280,-0.259,0.960,0.142
595455,18:16:27.065,0.140,-2.940,1.120,-0.260,0.958,0.141
595468,18:16:27.079,1.470,-3.780,1.470,-0.259,0.959,0.141
595482,18:16:27.080,0.350,-2.240,1.260,-0.259,0.958,0.141
595536,18:16:27.219,0.070,-0.840,0.980,-0.262,0.959,0.143
595549,18:16:27.221,4.270,-0.630,0.280,-0.258,0.957,0.139
595563,18:16:27.229,-1.750,-1.540,0.350,-0.258,0.958,0.140
595577,18:16:27.230,2.520,-0.490,2.240,-0.261,0.959,0.142
595591,18:16:27.231,2.940,-3.080,0.280,-0.261,0.960,0.139
595605,18:16:27.240,-0.210,-1.750,0.840,-0.260,0.958,0.142
595619,18:16:27.240,2.660,-3.990,-0.420,-0.261,0.956,0.142
595632,18:16:27.241,0.000,-5.180,1.120,-0.258,0.958,0.142
595646,18:16:27.257,1.260,-3.500,0.210,-0.260,0.957,0.141
595660,18:16:27.258,2.380,-4.340,-0.420,-0.259,0.955,0.142
595714,18:16:27.396,2.730,-5.530,0.000,-0.260,0.957,0.142
595727,18:16:27.398,4.340,0.140,1.190,-0.258,0.958,0.139
595742,18:16:27.406,-1.890,-0.420,-0.070,-0.260,0.959,0.142
595756,18:16:27.408,3.780,-4.200,-1.330,-0.259,0.957,0.141
595769,18:16:27.409,1.890,-2.730,-0.140,-0.260,0.956,0.140
595783,18:16:27.417,0.490,-4.690,0.980,-0.259,0.957,0.141
595797,18:16:27.418,3.570,-3.990,1.120,-0.258,0.959,0.142
595810,18:16:27.419,-1.120,-1.680,1.750,-0.259,0.956,0.140
595824,18:16:27.435,2.100,-1.960,-0.630,-0.261,0.959,0.143
595838,18:16:27.436,3.500,-5.040,-0.560,-0.259,0.957,0.141
595891,18:16:27.573,3.990,-4.690,0.280,-0.260,0.957,0.141
595905,18:16:27.575,0.350,-3.290,0.840,-0.259,0.956,0.142
595919,18:16:27.584,0.350,-3.010,0.910,-0.259,0.958,0.142
595932,18:16:27.585,-0.350,-3.850,1.610,-0.259,0.959,0.139
595946,18:16:27.588,1.050,-2.450,-0.980,-0.257,0.959,0.141
595960,18:16:27.595,2.660,-2.660,-0.910,-0.259,0.957,0.140
595973,18:16:27.595,-0.210,-2.310,1.260,-0.258,0.959,0.140
595987,18:16:27.597,-1.610,0.280,0.910,-0.257,0.958,0.142
596001,18:16:27.612,3.640,-3.430,0.140,-0.261,0.957,0.139
596014,18:16:27.613,1.400,-3.080,0.070,-0.258,0.960,0.141
596069,18:16:27.751,0.840,-1.540,0.280,-0.261,0.956,0.141
596083,18:16:27.753,1.540,-1.190,0.000,-0.259,0.957,0.142
596096,18:16:27.761,1.960,14.630,0.630,-0.259,0.958,0.142
596110,18:16:27.763,0.630,-1.890,0.420,-0.257,0.957,0.141
596124,18:16:27.766,3.850,-2.800,-1.610,-0.260,0.959,0.141
596137,18:16:27.773,4.690,-1.190,-0.140,-0.259,0.957,0.143
596151,18:16:27.774,3.500,-3.010,-0.840,-0.261,0.958,0.143
596165,18:16:27.776,3.990,-3.780,16.240,-0.260,0.958,0.142
596178,18:16:27.790,1.610,-2.520,-0.280,-0.260,0.957,0.140
596192,18:16:27.791,-2.100,-0.210,0.910,-0.260,0.958,0.142
596247,18:16:27.929,17.430,-0.980,0.000,-0.261,0.959,0.140
596260,18:16:27.931,1.050,-2.730,0.770,-0.260,0.958,0.141
596274,18:16:27.939,3.850,-3.780,-1.750,-0.261,0.958,0.142
596288,18:16:27.940,-0.840,-1.820,1.540,-0.259,0.959,0.143
596301,18:16:27.941,3.570,-4.760,-0.630,-0.263,0.958,0.140
596315,18:16:27.949,-1.050,-1.960,-0.770,-0.259,0.958,0.140
596329,18:16:27.950,2.450,-3.640,-0.560,-0.259,0.959,0.141
596342,18:16:27.951,0.000,-1.610,1.050,-0.263,0.959,0.142
596356,18:16:27.967,0.140,-5.460,0.980,-0.259,0.957,0.139
596370,18:16:27.968,3.780,-3.990,-0.210,-0.260,0.958,0.141
596424,18:16:28.106,4.340,-4.060,-1.400,-0.259,0.957,0.142
596438,18:16:28.108,3.080,-2.870,-1.260,-0.261,0.959,0.140
596452,18:16:28.116,1.260,-3.780,0.350,-0.260,0.959,0.142
596465,18:16:28.118,-2.100,-4.130,1.470,-0.258,0.957,0.140
596479,18:16:28.120,1.960,-3.080,0.840,-0.259,0.958,0.142
596493,18:16:28.128,1.190,-2.310,0.210,-0.260,0.957,0.140
596506,18:16:28.129,1.470,1.120,-0.350,-0.260,0.957,0.142
596520,18:16:28.131,4.410,-3.010,-0.490,-0.259,0.959,0.142
596534,18:16:28.145,0.000,-2.730,0.140,-0.261,0.959,0.141
596548,18:16:28.147,-0.840,-0.840,1.470,-0.260,0.956,0.142
596601,18:16:28.284,-0.280,0.210,0.070,-0.259,0.958,0.140
596615,18:16:28.286,3.990,-3.920,0.560,-0.259,0.958,0.143
596629,18:16:28.294,-0.350,-1.820,1.120,-0.260,0.959,0.142
596642,18:16:28.296,1.960,-3.360,-0.210,-0.257,0.958,0.141
596656,18:16:28.297,3.640,-1.610,-0.770,-0.260,0.959,0.142
596671,18:16:28.305,1.890,-0.770,-0.490,-0.258,0.958,0.142
596684,18:16:28.306,0.000,-2.380,0.210,-0.256,0.958,0.142
596698,18:16:28.307,2.450,-3.360,-0.770,-0.259,0.958,0.141
596712,18:16:28.323,1.400,-2.450,0.000,-0.261,0.957,0.140
596725,18:16:28.324,3.010,-2.170,-1.120,-0.259,0.958,0.142
596779,18:16:28.460,2.870,-3.290,-1.050,-0.259,0.957,0.142
596793,18:16:28.463,2.030,-2.450,-0.560,-0.258,0.957,0.140
596806,18:16:28.471,0.980,-3.430,0.700,-0.258,0.961,0.140
596820,18:16:28.472,1.330,-7.140,1.680,-0.260,0.956,0.141
596834,18:16:28.474,1.960,-3.360,1.330,-0.261,0.958,0.141
596847,18:16:28.482,2.240,-2.240,-0.700,-0.261,0.958,0.141
596861,18:16:28.482,0.910,-0.770,0.140,-0.259,0.956,0.142
596875,18:16:28.483,3.570,-3.780,-0.630,-0.260,0.959,0.141
596888,18:16:28.499,-1.120,-1.750,0.070,-0.260,0.957,0.142
596902,18:16:28.500,3.010,-3.080,-1.260,-0.260,0.956,0.140
596956,18:16:28.638,4.760,-3.500,0.350,-0.261,0.957,0.143
596969,18:16:28.640,-0.280,-2.380,0.000,-0.261,0.958,0.141
596984,18:16:28.648,4.270,-3.430,-0.630,-0.259,0.958,0.141
596998,18:16:28.650,-0.070,-2.310,0.070,-0.261,0.959,0.142
597011,18:16:28.652,1.820,-2.030,-0.350,-0.260,0.958,0.140
597025,18:16:28.660,0.700,-1.260,0.420,-0.260,0.957,0.142
597039,18:16:28.661,4.550,-3.360,-0.840,-0.259,0.957,0.141
597052,18:16:28.663,3.360,-3.220,-1.050,-0.259,0.958,0.139
597066,18:16:28.678,2.590,-2.870,-0.910,-0.259,0.959,0.141
597080,18:16:28.679,-0.630,-3.430,1.680,-0.258,0.959,0.144
597134,18:16:28.816,0.700,-2.870,0.420,-0.259,0.960,0.140
597148,18:16:28.818,1.960,-5.110,-0.840,-0.261,0.958,0.143
597162,18:16:28.827,-1.260,-1.750,1.400,-0.259,0.959,0.142
597175,18:16:28.828,3.080,-2.800,-1.120,-0.260,0.959,0.141
597189,18:16:28.830,-0.350,-0.630,0.980,-0.261,0.959,0.142
597203,18:16:28.838,0.070,-5.530,-0.420,-0.261,0.957,0.142
597216,18:16:28.840,0.000,-2.940,0.420,-0.261,0.958,0.143
597230,18:16:28.841,-0.840,-2.450,1.750,-0.261,0.959,0.140
597244,18:16:28.855,1.470,-1.400,-0.070,-0.259,0.958,0.141
597257,18:16:28.856,-1.960,0.630,1.120,-0.260,0.958,0.140
597312,18:16:28.993,2.730,-3.500,-0.070,-0.260,0.959,0.142
597326,18:16:28.994,2.940,-3.220,16.800,-0.260,0.958,0.140
597339,18:16:29.004,1.120,-2.030,0.210,-0.261,0.957,0.141
597353,18:16:29.005,1.050,-2.310,0.210,-0.260,0.957,0.141
597367,18:16:29.007,-1.890,-1.260,-0.840,-0.259,0.959,0.141
597381,18:16:29.015,3.640,-3.920,-1.330,-0.259,0.959,0.142
597394,18:16:29.017,-0.350,-3.220,1.470,-0.258,0.956,0.141
597408,18:16:29.019,16.940,-1.960,0.420,-0.260,0.958,0.142
597422,18:16:29.033,4.060,-3.990,-0.770,-0.258,0.958,0.142
597435,18:16:29.034,2.590,-5.670,-0.350,-0.261,0.957,0.142
597490,18:16:29.170,3.290,-3.220,-1.330,-0.260,0.959,0.141
597504,18:16:29.171,2.100,-2.170,-0.560,-0.260,0.960,0.142
597517,18:16:29.181,3.430,-4.620,-0.070,-0.258,0.958,0.140
597531,18:16:29.182,2.240,-3.290,-0.420,-0.258,0.959,0.141
597545,18:16:29.184,3.080,-3.150,-1.050,-0.260,0.958,0.140
597558,18:16:29.192,2.170,-2.520,-0.490,-0.261,0.958,0.141
597572,18:16:29.193,-2.170,0.210,0.700,-0.261,0.959,0.140
597586,18:16:29.194,1.960,-0.070,0.070,-0.260,0.957,0.141
597599,18:16:29.210,1.890,-2.450,-0.140,-0.260,0.958,0.142
597613,18:16:29.211,2.310,-4.060,-0.420,-0.260,0.957,0.141
597668,18:16:29.349,2.730,-2.520,-1.050,-0.260,0.958,0.139
597681,18:16:29.351,4.550,-0.350,0.070,-0.262,0.959,0.140
597695,18:16:29.359,-1.050,-1.540,0.350,-0.258,0.955,0.140
597709,18:16:29.361,1.960,-3.430,-0.280,-0.257,0.958,0.140
597722,18:16:29.362,2.030,-0.770,-0.070,-0.261,0.954,0.142
597736,18:16:29.370,-1.540,-3.080,-0.070,-0.261,0.956,0.140
597750,18:16:29.371,-0.490,-2.590,0.980,-0.259,0.963,0.141
597763,18:16:29.372,1.260,-3.220,0.280,-0.259,0.958,0.142
597777,18:16:29.388,0.770,-3.990,0.630,-0.259,0.959,0.141
597791,18:16:29.389,1.540,-4.900,1.190,-0.261,0.960,0.139
597845,18:16:29.528,-0.350,-4.200,1.470,-0.259,0.957,0.141
597859,18:16:29.530,3.220,-3.640,-1.050,-0.259,0.956,0.141
597873,18:16:29.538,1.050,-2.170,0.140,-0.260,0.959,0.142
597886,18:16:29.539,0.910,-1.540,0.280,-0.260,0.957,0.144
597900,18:16:29.541,1.260,-0.280,-0.070,-0.260,0.957,0.140
597915,18:16:29.549,1.120,-0.420,-0.280,-0.258,0.960,0.140
597928,18:16:29.551,-1.400,-1.680,-0.700,-0.259,0.959,0.142
597942,18:16:29.553,1.050,-2.660,0.350,-0.260,0.958,0.142
597956,18:16:29.567,0.210,-1.190,0.560,-0.259,0.958,0.141
597969,18:16:29.569,16.170,-1.050,0.000,-0.259,0.958,0.142
598024,18:16:29.707,4.480,-5.180,-0.630,-0.259,0.958,0.143
598038,18:16:29.709,4.130,-4.270,1.120,-0.258,0.958,0.141
598052,18:16:29.717,-0.420,1.050,1.120,-0.261,0.960,0.141
598066,18:16:29.719,0.910,-2.450,0.910,-0.260,0.960,0.142
598080,18:16:29.720,3.990,-3.640,-1.820,-0.260,0.959,0.141
598093,18:16:29.728,0.840,-1.190,0.280,-0.258,0.958,0.139
598107,18:16:29.730,3.990,-0.280,-0.070,-0.261,0.959,0.139
598121,18:16:29.731,4.270,-4.060,0.350,-0.259,0.959,0.141
598134,18:16:29.745,1.470,-2.870,-0.070,-0.258,0.958,0.141
598148,18:16:29.747,0.490,-4.060,0.910,-0.258,0.959,0.142
598202,18:16:29.883,-0.770,-2.240,1.610,-0.259,0.959,0.142
598215,18:16:29.885,-0.210,-4.340,1.400,-0.258,0.956,0.139
598229,18:16:29.893,-0.210,-1.470,1.400,-0.260,0.960,0.140
598243,18:16:29.895,2.800,0.210,0.210,-0.261,0.958,0.143
598256,18:16:29.896,3.570,-3.850,0.700,-0.260,0.958,0.142
598270,18:16:29.904,-1.050,-1.120,1.680,-0.259,0.958,0.142
598284,18:16:29.905,2.660,-4.130,-0.560,-0.261,0.960,0.141
598298,18:16:29.906,-2.030,-2.100,0.630,-0.259,0.957,0.142
598311,18:16:29.923,2.590,-3.150,-1.400,-0.259,0.958,0.140
598325,18:16:29.924,0.210,-1.470,0.700,-0.260,0.959,0.142
598380,18:16:30.061,1.330,-2.240,0.000,-0.260,0.956,0.142
598393,18:16:30.063,1.470,-1.750,-0.280,-0.259,0.960,0.142
598407,18:16:30.071,1.960,-3.430,1.050,-0.258,0.957,0.142
598421,18:16:30.073,-0.840,-1.750,-0.350,-0.261,0.957,0.141
598434,18:16:30.074,1.260,-3.710,0.070,-0.259,0.957,0.140
598448,18:16:30.083,1.400,-4.760,0.280,-0.258,0.957,0.142
598462,18:16:30.083,4.410,-5.460,0.000,-0.259,0.959,0.143
598475,18:16:30.084,-0.700,-2.030,1.050,-0.258,0.958,0.142
598489,18:16:30.100,1.610,-2.310,-0.210,-0.259,0.957,0.142
598503,18:16:30.101,0.350,-1.960,0.560,-0.259,0.959,0.143
598557,18:16:30.238,1.820,-1.680,-0.630,-0.258,0.958,0.141
598571,18:16:30.239,3.360,0.490,0.420,-0.259,0.959,0.139
598585,18:16:30.249,3.710,-4.410,0.560,-0.262,0.957,0.142
598598,18:16:30.249,0.210,-2.030,0.420,-0.258,0.959,0.141
598612,18:16:30.250,1.820,-2.870,-0.140,-0.258,0.959,0.142
598626,18:16:30.260,0.350,-0.840,-0.070,-0.262,0.957,0.141
598639,18:16:30.260,3.010,-3.640,0.210,-0.262,0.959,0.142
598653,18:16:30.261,3.430,-3.640,-1.470,-0.259,0.959,0.140
598667,18:16:30.277,1.260,-4.410,0.490,-0.261,0.956,0.142
598680,18:16:30.278,-1.610,-0.980,0.630,-0.259,0.956,0.142
